Time[s], Channel 7, Channel 9
6.392641999999999, 1, 0
6.392653999999999, 0, 0
6.629390000000000, 0, 1
6.629798000000000, 0, 0
6.722980000000000, 1, 0
6.722992000000000, 0, 0
6.931620000000000, 0, 1
6.932028000000000, 0, 0
6.943206000000000, 1, 0
6.943218000000000, 0, 0
7.233849999999999, 0, 1
7.234258000000000, 0, 0
7.273543999999999, 1, 0
7.273555999999999, 0, 0
7.536082000000000, 0, 1
7.536487999999999, 0, 0
7.713979999999999, 1, 0
7.713990000000000, 0, 0
7.838311999999999, 0, 1
7.838718000000000, 0, 0
7.934220000000000, 1, 0
7.934232000000000, 0, 0
8.140542000000000, 0, 1
8.140948000000000, 0, 0
8.154446000000000, 1, 0
8.154458000000000, 0, 0
8.442772000000000, 0, 1
8.443178000000000, 0, 0
8.484783999999999, 1, 0
8.484795999999999, 0, 0
8.745001999999999, 0, 1
8.745407999999999, 0, 0
8.815123999999999, 1, 0
8.815134000000000, 0, 0
9.047231999999999, 0, 1
9.047639999999999, 0, 0
9.145462000000000, 1, 0
9.145472000000000, 0, 0
9.349447999999999, 0, 1
9.349933999999999, 0, 0
9.365686000000000, 1, 0
9.365698000000000, 0, 0
9.651662000000000, 0, 1
9.652070000000000, 0, 0
9.696024000000000, 1, 0
9.696035999999999, 0, 0
9.953892000000000, 0, 1
9.954300000000000, 0, 0
10.026363999999999, 1, 0
10.026373999999999, 0, 0
10.256122000000000, 0, 1
10.256530000000000, 0, 0
10.356702000000000, 1, 0
10.356712000000000, 0, 0
10.558351999999999, 0, 1
10.558759999999999, 0, 0
10.687040000000000, 1, 0
10.687049999999999, 0, 0
10.861008000000000, 0, 1
10.861493999999999, 0, 0
10.907266000000000, 1, 0
10.907276000000000, 0, 0
11.163209999999999, 0, 1
11.163615999999999, 0, 0
11.465439999999999, 0, 1
11.465847999999999, 0, 0
11.567926000000000, 1, 0
11.567938000000000, 0, 0
11.678037999999999, 1, 0
11.678049999999999, 0, 0
11.767669999999999, 0, 1
11.768077999999999, 0, 0
11.788167999999999, 1, 0
11.788178000000000, 0, 0
12.069899999999999, 0, 1
12.070307999999999, 0, 0
12.118506000000000, 1, 0
12.118516000000000, 0, 0
12.372544000000000, 0, 1
12.373032000000000, 0, 0
12.448843999999999, 1, 0
12.448853999999999, 0, 0
12.674757999999999, 0, 1
12.675163999999999, 0, 0
12.779181999999999, 1, 0
12.779193999999999, 0, 0
12.977013999999999, 0, 1
12.977421999999999, 0, 0
12.999407999999999, 1, 0
12.999417999999999, 0, 0
13.279218000000000, 0, 1
13.279625999999999, 0, 0
13.329746000000000, 1, 0
13.329758000000000, 0, 0
13.581448000000000, 0, 1
13.581856000000000, 0, 0
13.770195999999999, 1, 0
13.770208000000000, 0, 0
13.884119999999999, 0, 1
13.884570000000000, 0, 0
13.990421999999999, 1, 0
13.990433999999999, 0, 0
14.186368000000000, 0, 1
14.186853999999999, 0, 0
14.210647999999999, 1, 0
14.210657999999999, 0, 0
14.488565999999999, 0, 1
14.488973999999999, 0, 0
14.540986000000000, 1, 0
14.540998000000000, 0, 0
14.790795999999999, 0, 1
14.791203999999999, 0, 0
15.091550000000000, 1, 0
15.091559999999999, 0, 0
15.093026000000000, 0, 1
15.093433999999998, 0, 0
15.201632000000000, 1, 0
15.201644000000000, 0, 0
15.395740000000000, 0, 1
15.396227999999999, 0, 0
15.421857999999999, 1, 0
15.421868000000000, 0, 0
15.697944000000000, 0, 1
15.698352000000000, 0, 0
15.752196000000000, 1, 0
15.752208000000000, 0, 0
16.000176000000000, 0, 1
16.000581999999998, 0, 0
16.082533999999999, 1, 0
16.082546000000001, 0, 0
16.302405999999998, 0, 1
16.302811999999999, 0, 0
16.412855999999998, 1, 0
16.412868000000000, 0, 0
16.604635999999999, 0, 1
16.605042000000001, 0, 0
16.633098000000000, 1, 0
16.633109999999999, 0, 0
16.907157999999999, 0, 1
16.907646000000000, 0, 0
16.963435999999998, 1, 0
16.963448000000000, 0, 0
17.209370000000000, 0, 1
17.209778000000000, 0, 0
17.293773999999999, 1, 0
17.293786000000001, 0, 0
17.511599999999998, 0, 1
17.512007999999998, 0, 0
17.624112000000000, 1, 0
17.624123999999998, 0, 0
17.813829999999999, 0, 1
17.814238000000000, 0, 0
17.844338000000000, 1, 0
17.844349999999999, 0, 0
18.116061999999999, 0, 1
18.116467999999998, 0, 0
18.174675999999998, 1, 0
